editie,nr,titel,uitgever,uitgave,bewerkt,verkend,bijgewerkt,herzien,opname_jaar,basis_jaar,basis,schaal,bewerker,reproductie,opmerking,wsk,hw,we,image
1,50,BREDA 2,Top. Bur.,,1876,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/50 Breda-2.jpg
1,50,BREDA 3,Top. Bur.,,1876,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/50 Breda-3.jpg
1,50,BREDA 4,Top. Bur.,,1876,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/50 Breda-4.jpg
1,51,EINDHOVEN 1,Top. Inrigting,,1878,1876,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/51 Eindhoven-1.jpg
1,51,EINDHOVEN 2,Top. Inrigting,,1878,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/51 Eindhoven-2.jpg
1,51,EINDHOVEN 3,Top. Inrigting,,1877,1876,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/51 Eindhoven-3.jpg
1,51,EINDHOVEN 4,Top. Inrigting,,1878,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/51 Eindhoven-4.jpg
1,52,VENLO 1,Top. Inrichting,,1889,1888,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/52 Venlo-1.jpg
1,52,VENLO 2,Top. Inrichting,,1889,1888,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/52 Venlo-2.jpg
1,52,VENLO 3,Top. Inrichting,,1889,1888,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/52 Venlo-3.jpg
1,52,VENLO 4,Top. Inrichting,,1889,1888,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/52 Venlo-4.jpg
1,47-53,SLUIS,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/47-53 Sluis.jpg
1,54,NEUZEN 1,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/54 Neuzen-1.jpg
1,54,NEUZEN 2,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/54 Neuzen-2.jpg
1,54,NEUZEN 3,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/54 Neuzen-3.jpg
1,55,HULST,Top. Bur.,,1874,,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/55 Hulst.jpg
1,57,VALKENSWAARD 1,Top. Inrigting,,1879,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/57 Valkenswaard-1.jpg
1,57,VALKENSWAARD 2,Top. Inrigting,,1880,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/57 Valkenswaard-2.jpg
1,57,VALKENSWAARD 3,Top. Inrigting,,1880,1877,,,,,,Schaal van 10000 Meters,,,,,,,eerste_editie/57 Valkenswaard-3.jpg
